u_law,u_skewness,x_law,tau,b,gamma_rif,theta_twostep,truth,rif_gap_pct,twostep_gap_pct
lognormal,4.7453,uniform,0.5,0.5,0.5876797795,0.5000000000,0.5000000000,17.5360,0.0000
lognormal,4.7453,uniform,0.75,0.5,0.4422642958,0.5000000000,0.5000000000,-11.5471,0.0000
lognormal,4.7453,uniform,0.9,0.5,0.4564157945,0.5000000000,0.5000000000,-8.7168,0.0000
lognormal,4.7453,uniform,0.95,0.5,0.4680957657,0.5000000000,0.5000000000,-6.3808,0.0000
lognormal,4.7453,Student t(5),0.05,0.5,0.5960193230,0.5000000000,0.5000000000,19.2039,0.0000
lognormal,4.7453,Student t(5),0.1,0.5,0.4896323378,0.5000000000,0.5000000000,-2.0735,0.0000
lognormal,4.7453,Student t(5),0.25,0.5,0.4165608591,0.5000000000,0.5000000000,-16.6878,0.0000
lognormal,4.7453,Student t(5),0.5,0.5,0.4266737035,0.5000000000,0.5000000000,-14.6653,0.0000
lognormal,4.7453,Student t(5),0.75,0.5,0.4977458767,0.5000000000,0.5000000000,-0.4508,0.0000
lognormal,4.7453,Student t(5),0.9,0.5,0.5814672669,0.5000000000,0.5000000000,16.2935,0.0000
lognormal,4.7453,Student t(5),0.95,0.5,0.6190319193,0.5000000000,0.5000000000,23.8064,0.0000
lognormal,4.7453,chi-square(3),0.05,0.5,0.1409127124,0.5000000000,0.5000000000,-71.8175,0.0000
lognormal,4.7453,chi-square(3),0.1,0.5,0.1911872907,0.5000000000,0.5000000000,-61.7625,0.0000
lognormal,4.7453,chi-square(3),0.25,0.5,0.3062235449,0.5000000000,0.5000000000,-38.7553,0.0000
lognormal,4.7453,chi-square(3),0.5,0.5,0.4837239873,0.5000000000,0.5000000000,-3.2552,0.0000
lognormal,4.7453,chi-square(3),0.75,0.5,0.6998536801,0.5000000000,0.5000000000,39.9707,0.0000
lognormal,4.7453,chi-square(3),0.9,0.5,0.8698547446,0.5000000000,0.5000000000,73.9709,0.0000
lognormal,4.7453,chi-square(3),0.95,0.5,0.9069407505,0.5000000000,0.5000000000,81.3882,0.0000
lognormal,4.7453,exponential,0.05,0.5,0.1074718492,0.5000000000,0.5000000000,-78.5056,0.0000
lognormal,4.7453,exponential,0.1,0.5,0.1531360935,0.5000000000,0.5000000000,-69.3728,0.0000
lognormal,4.7453,exponential,0.25,0.5,0.2666037792,0.5000000000,0.5000000000,-46.6792,0.0000
lognormal,4.7453,exponential,0.5,0.5,0.4600263421,0.5000000000,0.5000000000,-7.9947,0.0000
lognormal,4.7453,exponential,0.75,0.5,0.7201135601,0.5000000000,0.5000000000,44.0227,0.0000
lognormal,4.7453,exponential,0.9,0.5,0.9543140508,0.5000000000,0.5000000000,90.8628,0.0000
lognormal,4.7453,exponential,0.95,0.5,1.0325776673,0.5000000000,0.5000000000,106.5155,0.0000
lognormal,4.7453,lognormal,0.05,0.5,0.0598512691,0.5000000000,0.5000000000,-88.0297,0.0000
lognormal,4.7453,lognormal,0.1,0.5,0.0846136580,0.5000000000,0.5000000000,-83.0773,0.0000
lognormal,4.7453,lognormal,0.25,0.5,0.1523678948,0.5000000000,0.5000000000,-69.5264,0.0000
lognormal,4.7453,lognormal,0.5,0.5,0.2968741868,0.5000000000,0.5000000000,-40.6252,0.0000
lognormal,4.7453,lognormal,0.75,0.5,0.5855486365,0.5000000000,0.5000000000,17.1097,0.0000
lognormal,4.7453,lognormal,0.9,0.5,1.0875323157,0.5000000000,0.5000000000,117.5065,0.0000
lognormal,4.7453,lognormal,0.95,0.5,1.5793467347,0.5000000000,0.5000000000,215.8693,0.0000
