quantity,value
tau,.75
truth,2.9759
truth_source,p8_truth.py
oracle_on_z,2.962603063883122
naive_on_proxies,3.452952079240866
corrected,2.955542005312563
enriched_no_merr,3.345112407224618
sigma2_z1,.24910495351932
sigma2_z2,0
t_z1,18.94768709433106
t_z2,1.338623687778886
keep_z1,1
keep_z2,0
reliability_z1,.5236665465937386
reliability_z2,.5714285714285713
